iter	Passed	Remaining
0	2	2672
1	8	4123
2	12	4117
3	16	4070
4	20	3989
5	26	4453
6	31	4408
7	35	4340
8	39	4387
9	44	4363
10	47	4302
11	51	4252
12	58	4423
13	63	4487
14	67	4446
15	75	4655
16	80	4655
17	88	4804
18	92	4775
19	96	4737
20	100	4706
21	119	5299
22	132	5636
23	138	5619
24	142	5548
25	146	5481
26	152	5482
27	157	5458
28	161	5404
29	165	5346
30	177	5558
31	181	5484
32	186	5464
33	191	5428
34	194	5371
35	199	5352
36	204	5311
37	207	5263
38	212	5224
39	217	5211
40	221	5172
41	225	5133
42	228	5095
43	233	5077
44	237	5047
45	241	5010
46	245	4984
47	250	4970
48	254	4938
49	258	4911
50	263	4908
51	268	4893
52	272	4866
53	276	4843
54	281	4839
55	286	4824
56	297	4919
57	313	5097
58	317	5067
59	321	5035
60	325	5009
61	329	4985
62	333	4963
63	337	4934
64	341	4913
65	346	4900
66	349	4873
67	353	4850
68	357	4827
69	362	4813
70	366	4793
71	370	4772
72	375	4764
73	379	4747
74	383	4724
75	386	4702
76	391	4698
77	396	4685
78	400	4674
79	404	4656
80	409	4644
81	412	4621
82	416	4604
83	420	4583
84	424	4574
85	428	4557
86	432	4539
87	435	4516
88	440	4506
89	443	4485
90	446	4464
91	450	4444
92	453	4427
93	457	4412
94	461	4398
95	465	4380
96	468	4362
97	473	4357
98	477	4345
99	481	4332
100	485	4320
101	489	4310
102	493	4294
103	496	4277
104	499	4260
105	503	4247
106	507	4231
107	510	4214
108	513	4199
109	517	4185
110	520	4171
111	524	4155
112	527	4140
113	530	4125
114	535	4121
115	538	4107
116	542	4093
117	545	4079
118	549	4068
119	553	4057
120	556	4043
121	560	4032
122	565	4035
123	572	4043
124	582	4080
125	586	4070
126	594	4085
127	599	4081
128	604	4079
129	607	4066
130	611	4053
131	626	4119
132	629	4106
133	633	4095
134	637	4081
135	640	4068
136	643	4054
137	648	4048
138	652	4041
139	656	4031
140	659	4020
141	663	4011
142	667	4003
143	672	3996
144	676	3986
145	680	3981
146	685	3975
147	689	3968
148	700	4001
149	705	3995
150	708	3983
151	712	3975
152	716	3965
153	719	3953
154	723	3941
155	727	3935
156	731	3925
157	734	3914
158	737	3902
159	742	3895
160	746	3887
161	749	3877
162	753	3866
163	756	3856
164	760	3848
165	764	3839
166	767	3829
167	771	3819
168	790	3885
169	794	3881
170	798	3872
171	810	3900
172	815	3898
173	819	3892
174	823	3884
175	828	3877
176	832	3868
177	836	3862
178	840	3856
179	844	3847
180	848	3840
181	852	3831
182	856	3822
183	859	3812
184	863	3803
185	867	3796
186	871	3790
187	875	3780
188	878	3771
189	882	3761
190	894	3789
191	898	3780
192	902	3772
193	906	3764
194	909	3755
195	913	3746
196	917	3741
197	921	3734
198	925	3726
199	929	3717
200	934	3713
201	938	3708
202	943	3703
203	948	3699
204	953	3698
205	958	3695
206	964	3695
207	968	3688
208	972	3680
209	976	3672
210	980	3664
211	983	3657
212	987	3648
213	990	3639
214	994	3630
215	998	3622
216	1001	3614
217	1005	3605
218	1009	3599
219	1013	3592
220	1017	3585
221	1021	3580
222	1025	3571
223	1030	3568
224	1033	3559
225	1036	3551
226	1040	3544
227	1047	3547
228	1051	3540
229	1054	3531
230	1058	3524
231	1062	3517
232	1066	3509
233	1069	3501
234	1073	3493
235	1076	3486
236	1080	3478
237	1084	3470
238	1087	3463
239	1091	3456
240	1095	3449
241	1099	3442
242	1102	3434
243	1106	3427
244	1109	3420
245	1113	3412
246	1116	3404
247	1120	3396
248	1124	3390
249	1127	3382
250	1130	3374
251	1134	3366
252	1137	3359
253	1141	3352
254	1144	3344
255	1148	3338
256	1152	3331
257	1156	3326
258	1160	3319
259	1164	3313
260	1168	3307
261	1172	3301
262	1175	3295
263	1179	3288
264	1182	3280
265	1186	3273
266	1189	3266
267	1193	3259
268	1196	3252
269	1200	3244
270	1204	3238
271	1207	3231
272	1210	3224
273	1214	3217
274	1217	3210
275	1221	3204
276	1224	3196
277	1228	3189
278	1231	3182
279	1235	3176
280	1238	3169
281	1241	3162
282	1245	3155
283	1248	3148
284	1253	3143
285	1256	3137
286	1260	3130
287	1263	3123
288	1267	3118
289	1271	3112
290	1275	3107
291	1279	3101
292	1283	3097
293	1291	3101
294	1294	3094
295	1314	3127
296	1317	3119
297	1321	3112
298	1324	3105
299	1328	3098
300	1332	3093
301	1335	3087
302	1339	3080
303	1342	3073
304	1346	3067
305	1349	3061
306	1353	3054
307	1356	3047
308	1359	3040
309	1363	3035
310	1366	3028
311	1370	3021
312	1373	3015
313	1377	3008
314	1380	3002
315	1384	2995
316	1387	2989
317	1390	2983
318	1394	2977
319	1398	2971
320	1401	2964
321	1405	2958
322	1408	2952
323	1412	2946
324	1415	2940
325	1419	2934
326	1422	2928
327	1426	2922
328	1429	2916
329	1433	2910
330	1437	2904
331	1440	2898
332	1444	2892
333	1447	2886
334	1451	2880
335	1454	2874
336	1458	2868
337	1462	2863
338	1465	2858
339	1469	2852
340	1472	2845
341	1476	2840
342	1480	2836
343	1484	2830
344	1487	2824
345	1508	2852
346	1511	2845
347	1515	2838
348	1518	2832
349	1522	2827
350	1528	2825
351	1531	2819
352	1534	2813
353	1538	2807
354	1542	2801
355	1545	2795
356	1549	2789
357	1552	2784
358	1556	2779
359	1560	2773
360	1563	2767
361	1567	2762
362	1570	2756
363	1574	2750
364	1577	2744
365	1580	2738
366	1584	2732
367	1587	2726
368	1591	2720
369	1594	2715
370	1598	2709
371	1601	2704
372	1605	2698
373	1608	2692
374	1611	2686
375	1615	2680
376	1618	2674
377	1622	2669
378	1625	2663
379	1629	2657
380	1632	2652
381	1636	2646
382	1639	2641
383	1643	2635
384	1646	2630
385	1650	2625
386	1653	2619
387	1657	2614
388	1661	2609
389	1665	2604
390	1668	2599
391	1672	2593
392	1676	2589
393	1682	2587
394	1689	2587
395	1693	2583
396	1697	2578
397	1701	2572
398	1704	2567
399	1708	2562
400	1711	2557
401	1715	2552
402	1719	2547
403	1722	2541
404	1726	2536
405	1730	2531
406	1733	2526
407	1737	2520
408	1740	2515
409	1744	2509
410	1748	2505
411	1751	2499
412	1755	2494
413	1758	2489
414	1762	2484
415	1767	2481
416	1772	2477
417	1777	2475
418	1781	2470
419	1784	2464
420	1788	2459
421	1791	2454
422	1795	2449
423	1799	2444
424	1803	2439
425	1806	2434
426	1810	2429
427	1814	2424
428	1818	2419
429	1821	2414
430	1825	2409
431	1828	2404
432	1832	2399
433	1835	2394
434	1839	2389
435	1843	2384
436	1846	2379
437	1850	2373
438	1854	2369
439	1858	2364
440	1861	2359
441	1865	2354
442	1868	2349
443	1873	2345
444	1877	2341
445	1881	2336
446	1884	2331
447	1888	2326
448	1891	2321
449	1895	2316
450	1898	2311
451	1902	2306
452	1906	2301
453	1909	2296
454	1913	2291
455	1916	2286
456	1920	2282
457	1924	2277
458	1928	2272
459	1932	2268
460	1935	2263
461	1939	2258
462	1942	2253
463	1946	2248
464	1949	2243
465	1953	2238
466	1956	2232
467	1960	2228
468	1963	2223
469	1967	2218
470	1970	2213
471	1974	2208
472	1977	2203
473	1981	2198
474	1984	2193
475	1988	2189
476	1992	2184
477	1995	2179
478	1999	2174
479	2003	2170
480	2008	2167
481	2012	2162
482	2015	2157
483	2019	2153
484	2022	2147
485	2026	2143
486	2029	2137
487	2033	2133
488	2036	2128
489	2040	2123
490	2043	2118
491	2047	2113
492	2051	2109
493	2054	2104
494	2057	2099
495	2061	2094
496	2065	2090
497	2073	2089
498	2077	2086
499	2082	2082
500	2086	2078
501	2090	2073
502	2094	2069
503	2098	2065
504	2102	2060
505	2106	2056
506	2110	2052
507	2114	2048
508	2118	2043
509	2122	2039
510	2126	2035
511	2133	2033
512	2136	2028
513	2140	2023
514	2143	2018
515	2146	2013
516	2150	2009
517	2154	2004
518	2157	1999
519	2161	1995
520	2164	1990
521	2168	1985
522	2171	1980
523	2175	1976
524	2179	1971
525	2182	1967
526	2187	1962
527	2190	1958
528	2194	1953
529	2197	1948
530	2201	1944
531	2205	1939
532	2208	1935
533	2212	1930
534	2216	1926
535	2219	1921
536	2223	1916
537	2226	1912
538	2230	1908
539	2234	1903
540	2238	1898
541	2241	1894
542	2251	1894
543	2255	1891
544	2259	1886
545	2264	1882
546	2267	1878
547	2272	1874
548	2276	1870
549	2279	1865
550	2283	1860
551	2287	1856
552	2290	1851
553	2294	1847
554	2297	1842
555	2301	1837
556	2305	1833
557	2308	1828
558	2312	1824
559	2315	1819
560	2319	1815
561	2323	1810
562	2327	1806
563	2330	1801
564	2334	1797
565	2337	1792
566	2341	1787
567	2344	1783
568	2348	1778
569	2352	1774
570	2355	1769
571	2358	1765
572	2362	1760
573	2366	1755
574	2369	1751
575	2373	1746
576	2376	1742
577	2380	1737
578	2383	1733
579	2387	1729
580	2391	1724
581	2394	1719
582	2398	1715
583	2402	1711
584	2405	1706
585	2409	1701
586	2412	1697
587	2416	1693
588	2419	1688
589	2423	1684
590	2443	1691
591	2447	1686
592	2450	1682
593	2454	1677
594	2458	1673
595	2462	1669
596	2465	1664
597	2469	1659
598	2472	1655
599	2476	1651
600	2482	1647
601	2490	1646
602	2494	1642
603	2497	1637
604	2501	1633
605	2505	1628
606	2508	1624
607	2512	1619
608	2516	1615
609	2519	1610
610	2522	1606
611	2526	1601
612	2529	1597
613	2533	1592
614	2536	1588
615	2540	1583
616	2544	1579
617	2547	1574
618	2551	1570
619	2554	1565
620	2558	1561
621	2562	1557
622	2565	1552
623	2569	1548
624	2572	1543
625	2576	1539
626	2580	1535
627	2583	1530
628	2587	1526
629	2591	1521
630	2595	1517
631	2598	1513
632	2602	1508
633	2605	1504
634	2609	1499
635	2613	1495
636	2616	1491
637	2619	1486
638	2623	1482
639	2627	1477
640	2630	1473
641	2633	1468
642	2638	1464
643	2641	1460
644	2645	1456
645	2648	1451
646	2653	1447
647	2657	1443
648	2660	1439
649	2664	1434
650	2668	1430
651	2672	1426
652	2676	1422
653	2679	1417
654	2683	1413
655	2688	1409
656	2691	1405
657	2695	1401
658	2699	1396
659	2703	1392
660	2706	1388
661	2710	1383
662	2713	1379
663	2717	1375
664	2721	1371
665	2727	1367
666	2733	1364
667	2738	1360
668	2741	1356
669	2745	1352
670	2748	1347
671	2752	1343
672	2756	1339
673	2759	1334
674	2763	1330
675	2767	1326
676	2770	1321
677	2774	1317
678	2777	1313
679	2781	1308
680	2785	1304
681	2788	1300
682	2792	1295
683	2795	1291
684	2799	1287
685	2803	1283
686	2807	1278
687	2811	1274
688	2818	1272
689	2822	1267
690	2825	1263
691	2829	1259
692	2833	1255
693	2836	1250
694	2840	1246
695	2844	1242
